track_id,name,spotify_preview_url,spotify_id,tags,genre,duration_ms,id,track_album_id,track_album_name,,year,artist_name,artist_id,album_id,album_name,,release_date,artist_name
TRIOREW128F424EAF0,Mr. Brightside,https://p.scdn.co/mp3-preview/4d26180e6961fd46866cd9106936ea55dfcbaa75?cid=774b29d4f13844c495f206cafdad9c86,09ZQ5TmUG8TSL56n0knqrj,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,222200,0DheY5irMjBUeLybbCUEZ2,2oCs0DGTsRO98Gh5ZSl2Cx,I Don't Care (with Justin Bieber) [Loud Luxury Remix],,2004,The Killers,0DheY5irMjBUeLybbCUEZ2,2oCs0DGTsRO98Gh5ZSl2Cx,I Don't Care (with Justin Bieber) [Loud Luxury Remix],,2004,The Killers
TRRIVDJ128F429B0E8,Wonderwall,https://p.scdn.co/mp3-preview/d012e536916c927bd6c8ced0dae75ee3b7715983?cid=774b29d4f13844c495f206cafdad9c86,06UfBBDISthj1ZJAtX4xjj,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop",,258613,0DlhY15l3wsrnlfGio2bjU,63rPSO264uRjW1X5E6cWv6,Memories (Dillon Francis Remix),,2006,Oasis,0DlhY15l3wsrnlfGio2bjU,63rPSO264uRjW1X5E6cWv6,Memories (Dillon Francis Remix),,2006,Oasis
TROUVHL128F426C441,Come as You Are,https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=774b29d4f13844c495f206cafdad9c86,0keNu0t0tqsWtExGM3nT1D,"rock, alternative, alternative_rock, 90s, grunge",RnB,218920,0DmRESX2JknGPQyO15yxg7,1HoSmj2eLcsrR0vE9gThr4,All the Time (Don Diablo Remix),,1991,Nirvana,0DmRESX2JknGPQyO15yxg7,1HoSmj2eLcsrR0vE9gThr4,All the Time (Don Diablo Remix),,1991,Nirvana
TRUEIND128F93038C4,Take Me Out,https://p.scdn.co/mp3-preview/399c401370438be449c2aebff816ba8c62559871?cid=774b29d4f13844c495f206cafdad9c86,0ancVQ9wEcHVd0RrGICTE4,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,237026,0DmhnbHjm1qw6NCYPeZNgJ,1nqYsOef1yKKuGOVchbsk6,Call You Mine - The Remixes,,2004,Franz Ferdinand,0DmhnbHjm1qw6NCYPeZNgJ,1nqYsOef1yKKuGOVchbsk6,Call You Mine - The Remixes,,2004,Franz Ferdinand
TRLNZBD128F935E4D8,Creep,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=774b29d4f13844c495f206cafdad9c86,01QoK9DA7VTeTSE3MNzp4I,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,238640,0Dn11fWM7vHQ3rinvWEl4E,7m7vv9wlQ4i0LFuJiE2zsQ,Someone You Loved (Future Humans Remix),,2008,Radiohead,0Dn11fWM7vHQ3rinvWEl4E,7m7vv9wlQ4i0LFuJiE2zsQ,Someone You Loved (Future Humans Remix),,2008,Radiohead
TRUMISQ128F9340BEE,Somebody Told Me,https://p.scdn.co/mp3-preview/0d07673cfb46218a49c96eed639933f19b45cf9c?cid=774b29d4f13844c495f206cafdad9c86,0FNmIQ7u45Lhdn6RHhSLix,"rock, alternative, indie, pop, alternative_rock, indie_rock",,198480,0DotfDlYMGqkbzfBhcA5r6,2yiy9cd2QktrNvWC2EUi0k,Beautiful People (feat. Khalid) [Jack Wins Remix],,2005,The Killers,0DotfDlYMGqkbzfBhcA5r6,2yiy9cd2QktrNvWC2EUi0k,Beautiful People (feat. Khalid) [Jack Wins Remix],,2005,The Killers
TRVCCWR128F9304A30,Viva la Vida,https://p.scdn.co/mp3-preview/ab747fed1bfab2ac2c8ef7a260822520f6345113?cid=774b29d4f13844c495f206cafdad9c86,08A1lZeyLMWH58DT6aYjnC,"rock, alternative, indie, pop, alternative_rock, british, britpop",,235384,0DqP3bOCiC48L8SM9gK4W8,7INHYSeusaFlyrHSNxm8qH,Never Really Over (R3HAB Remix),,2013,Coldplay,0DqP3bOCiC48L8SM9gK4W8,7INHYSeusaFlyrHSNxm8qH,Never Really Over (R3HAB Remix),,2013,Coldplay
TRXOGZT128F424AD74,Karma Police,https://p.scdn.co/mp3-preview/5a09f5390e2862af1687f3671db3d6f84a813a45?cid=774b29d4f13844c495f206cafdad9c86,01puceOqImrzSfKDAcd1Ia,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,264066,0Drs3maQb99iRglyTuxizI,6703SRPsLkS4bPtMFFJes1,Post Malone (feat. RANI) [GATTÜSO Remix],,1996,Radiohead,0Drs3maQb99iRglyTuxizI,6703SRPsLkS4bPtMFFJes1,Post Malone (feat. RANI) [GATTÜSO Remix],,1996,Radiohead
TRMZXEW128F9341FD5,The Scientist,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=774b29d4f13844c495f206cafdad9c86,0GSSsT9szp0rJkBrYkzy6s,"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow",Rock,311014,0DsPeAi1gxPPnYjgpiEGSR,7CvAfGvq4RlIwEbT9o8Iav,Tough Love (Tiësto Remix),,2007,Coldplay,0DsPeAi1gxPPnYjgpiEGSR,7CvAfGvq4RlIwEbT9o8Iav,Tough Love (Tiësto Remix),,2007,Coldplay
TRUJIIV12903CA8848,Clocks,https://p.scdn.co/mp3-preview/24c7fe858b234e3cb21872cd03ab44b669163fbb?cid=774b29d4f13844c495f206cafdad9c86,0BCPKOYdS2jbQ8iyB56Zns,"rock, alternative, indie, pop, alternative_rock, british, chillout, piano, britpop",,307879,0DtvnTxgZ9K5YaPS5jdlQW,4QxzbfSsVryEQwvPFEV5Iu,If I Can't Have You (Gryffin Remix),,2002,Coldplay,0DtvnTxgZ9K5YaPS5jdlQW,4QxzbfSsVryEQwvPFEV5Iu,If I Can't Have You (Gryffin Remix),,2002,Coldplay
